Unnamed: 0,~導入してから「しまった…」「困った…」にならないために~,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Eラーニングを比較検討する際に「これだけは確認してほしい」チェックリスト,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,■Eラーニングベンダーとの面談時、このシートに質問しながらご記入ください,,,,,,,,,■記入例（SmartBoardingの場合）,,,,,,
,No.,カテゴリー,項目,説明・趣旨,質問例,ご検討中のEラーニング名：,,,,No.,カテゴリー,項目,説明・趣旨,質問例,Eラーニング「Smart Boarding」,
,1,対象,対象企業規模,対象企業の規模を把握し自社に適しているか判断,・導入企業の規模は中小ですか？大手ですか？,,,,,1,対象,対象企業規模,対象企業の規模を把握し自社に適しているか判断,・導入企業の規模は中小ですか？大手ですか？,-,"中小企業（従業員30名～100人以内）が8割。
ただ大手企業の導入事例も増えてきている"
,2,,研修対象者,対象とする研修の階層を把握し、自社に適しているか判断,・どんな階層に向けた研修プログラムがありますか？　　　　　　　　　,,,,,2,,研修対象者,対象とする研修の階層を把握し、自社に適しているか判断,・どんな階層に向けた研修プログラムがありますか？　　　　　　　　　,-,新人～マネージャークラスまで幅広い階層別に対応
,3,,業種,特徴的な導入職種,・導入企業に多い業種は何ですか？,,,,,3,,業種,特徴的な導入職種,・導入企業に多い業種は何ですか？,-,"＊全業種（製造・流通・IT・小売など業種を問わず）
"
,4,,運用担当者,想定する運用者の確認,・導入企業は主にどの部門・どんな方が運用していますか？,,,,,4,,運用担当者,想定する運用者の確認,・導入企業は主にどの部門・どんな方が運用していますか？,-,"基本的には人事担当
また、経営者・経営幹部・現場マネージャーが担当するケースもあり "
,1,仕様,対応OS,動作環境のOSを確認,"・対応のOSは何ですか？
・自社で利用しているOSで動作しますか？",,,,,1,仕様,対応OS,動作環境のOSを確認,"・対応のOSは何ですか？
・自社で利用しているOSで動作しますか？",〇,Chromeのみ動作環境を保証のみ
,2,,対応機種,対応している機種の確認,"・PCとスマホ両方に対応していますか？
・対象となる機種はありますか？",,,,,2,,対応機種,対応している機種の確認,"・PCとスマホ両方に対応していますか？
・対象となる機種はありますか？",〇,"基本的には、MAC, Windows, Android, iOS等のPCとスマホに対応"
,3,,多言語化対応,多言語対応しているか確かめます,"・多言語化対応はしていますか？
・対応はどの言語が対象でしょうか？",,,,,3,,多言語化対応,多言語対応しているか確かめます,"・多言語化対応はしていますか？
・対応はどの言語が対象でしょうか？",▲,"日本語対応のみ
将来的には多言語化検討"
,1,研修（INPUT）,既存のeラーニング,既存のeラーニングコンテンツの有無の確認,・既存のeラーニングの動画がありますか？,,,,,1,研修（INPUT）,既存のeラーニング,既存のeラーニングコンテンツの有無の確認,・既存のeラーニングの動画がありますか？,〇,"既存のeラーニングコンテンツあり
・ビジネスマインドのeラーニング『７つの習慣』
・人材育成会社が厳選した360コンテンツあり"
,2,,自社専用のeラーニング,自社のeラーニング動画が作れる機能の確認,・自社のeラーニングの配信はできますか？,,,,,2,,自社専用のeラーニング,自社のeラーニング動画が作れる機能の確認,・自社のeラーニングの配信はできますか？,◎,自社独自のeラーニング動画作成が簡単に可能
,3,,階層別にコースが分かれていますか？,対象者に合ったeラーニングの有無の確認,"・階層別にコンテンツはありますか？
・〇〇向けのコンテンツはありますか？",,,,,3,,階層別にコースが分かれていますか？,対象者に合ったeラーニングの有無の確認,"・階層別にコンテンツはありますか？
・〇〇向けのコンテンツはありますか？",◎,"新入社員～管理職向けまで階層別にコース化がされている
課題別に探しやすい仕様になっている"
,4,,動画配信機能,動画配信機能の確認,"・動画教材をストリーミング配信する機能はありますか？
・リアルタイムで配信するWEB会議システムとの連携は可能でしょうか？",,,,,4,,動画配信機能,動画配信機能の確認,"・動画教材をストリーミング配信する機能はありますか？
・リアルタイムで配信するWEB会議システムとの連携は可能でしょうか？",×,配信機能はなし
,1,研修（OUTPUT）,アウトプットできる仕組み,eラーニングで学んだことをアウトプットできる仕組みの有無,・eラーニングで学んだことをアウトプットする仕組みはありますか？,,,,,1,研修（OUTPUT）,アウトプットできる仕組み,eラーニングで学んだことをアウトプットできる仕組みの有無,・eラーニングで学んだことをアウトプットする仕組みはありますか？,◎,"アウトプットの仕組みあり
・アウトプット型のオンライン研修・テスト・レポート・ワークシートなど月額29,400円/30ID（税抜）内に含む"
,2,,オンライン研修の対応の有無,オンライン研修の有無,・オンライン研修はありますか？,,,,,2,,オンライン研修の対応の有無,オンライン研修の有無,・オンライン研修はありますか？,◎,"あり
４つのオンライン手法がある（70講座以上）
「オンラインディスカッション」「オンラインレッスン」「オンライン講座」「オンライン座談会」"
,3,,講師,講師の確認,・どんな講師の方が研修をされますか？,,,,,3,,講師,研修（講師）の質の確認,・どんな講師の方が研修をされますか？,◎,"5～10年以上キャリアがあるベテラン講師がリアルタイムでオンライン研修に登壇
代表取締役社長や元フリーアナウンサー、現役コンサルタントなど様々なプロ講師が在籍"
,4,,研修効果を発揮させる仕組み,学びを現場で実践するための仕組みの有無,・eラーニング学んだことを現場で実践するための仕組みはありますか？,,,,,4,,研修効果を発揮させる仕組み,学びを現場で実践するための仕組みの有無,・eラーニング学んだことを現場で実践するための仕組みはありますか？,◎,"あり
「知っているからできているにする」をコンセプトに現場に活用することが強み"
,5,,テスト機能,研修後のテスト機能の確認,"・研修受講後のテストコンテンツはありますか？
・テストを作ることができる機能はありますか？",,,,,5,,テスト機能,研修後のテスト機能の確認,"・研修受講後のテストコンテンツはありますか？
・テストを作ることができる機能はありますか？",〇,テストコンテンツあり
,6,,アンケート・レポ―ト機能,研修後にアンケートやレポート実施の確認,・研修後に実施をするアンケートやレポート機能などはありますか？,,,,,6,,アンケート・レポ―ト機能,研修後にアンケートやレポート実施の確認,・研修後に実施をするアンケートやレポート機能などはありますか？,〇,アンケート・レポートあり
,1,管理（LMS),LMS(学習進捗確認）機能,研修対象者のLMS(学習進捗）が確認できるか,・対象者の学習進捗を確認できる機能はありますか？,,,,,1,管理（LMS),LMS(学習進捗確認）機能,研修対象者のLMS(学習進捗）が確認できるか,・対象者の学習進捗を確認できる機能はありますか？,◎,"学習進捗確認機能あり
個人ごと、グループごと、コンテンツの種類ごとにも見れる"
,2,,グループ別管理機能,グループや部署ごとに管理ができるか,・グループや部署ごとに学習進捗が管理できる機能がありますか？,,,,,2,,グループ別管理機能,グループや部署ごとに管理ができるか,・グループや部署ごとに学習進捗が管理できる機能がありますか？,〇,グループごとに学習進捗可能
,3,,IDの活用方法,IDの活用方法の確認,・ID付与は一人一人ですか？もしくは共通ID使用は可能ですか？,,,,,3,,IDの活用方法,IDの活用方法の確認,・ID付与は一人一人ですか？もしくは共通ID使用は可能ですか？,-,1IDを共通IDとしてチームごとに利用することが可能
,4,,管理画面の使いやすいさ,管理画面の使いやすさの確認,"・管理画面が直観的に操作できる仕様ですか？
・UIは整っていますか？",,,,,4,,管理画面の使いやすいさ,管理画面の使いやすさの確認,"・管理画面が直観的に操作できる仕様ですか？
・UIは整っていますか？",◎,直感的に使いやすい管理画面
,5,,通知機能,学習者へのお知らせ機能の確認,・管理者から学習者にお知らせやメッセージを配信する機能はありますか？,,,,,5,,通知機能,学習者へのお知らせ機能の確認,・管理者から学習者にお知らせやメッセージを配信する機能はありますか？,▲,簡単なお知らせ機能のみあり
,6,,フィードバック機能,レポートなどのフィードバックができるか確認,・レポートの内容にフィードバックができる機能はありますか？,,,,,6,,フィードバック機能,レポートなどのフィードバックができるか確認,・レポートの内容にフィードバックができる機能はありますか？,〇,"サポート内でフィードバック可能
（いいねボタン機能あり）"
,7,,個人データベース機能,個人の学習履歴を一覧化する機能の確認,・個人の学習履歴を一括で管理する機能がありますか？,,,,,7,,個人データベース機能,個人の学習履歴を一覧化する機能の確認,・個人の学習履歴を一括で管理する機能がありますか？,〇,個人ごとに管理可能
,8,,研修管理機能,集合研修の予約やスケジュール管理機能の確認,・集合研修の予約やスケジュール管理機能ができる仕組みがありますか？,,,,,8,,研修管理機能,集合研修の予約やスケジュール管理機能の確認,・集合研修の予約やスケジュール管理機能ができる仕組みがありますか？,▲,SmartBoarding内の集合研修のみ管理可能
,1,トライアル,無料トライアルがある,無料トライアルの期間と可能最大ID数を確認,・無料トライアルはできますか？できる場合、期間とライセンス数、トライアル中のサポート体制を教えてください,,,,,1,トライアル,無料トライアルがある,無料トライアルの期間と可能最大ID数を確認,・無料トライアルはできますか？できる場合、期間とライセンス数、トライアル中のサポート体制を教えてください,◎,"2週間のフル機能３0IDの無料トライアル
＊オンライン研修の参加も可能"
,2,,マニュアルがある,マニュアルの有無,・トライアル中に操作を学ぶマニュアルを見せてください,,,,,2,,マニュアルがある,マニュアルの有無,・トライアル中に操作を学ぶマニュアルを見せてください,〇,簡単な操作マニュアルあり
,3,,トライアル中の視聴講座の範囲,トライアル中に視聴講座の範囲を確認,・トライアル中に利用できる講座に制限はありますか？,,,,,3,,トライアル中の視聴講座の範囲,トライアル中に視聴講座の範囲を確認,・トライアル中に利用できる講座に制限はありますか？,〇,"基本プランの講座はすべて受け放題
（プレミアムコースのみ視聴不可）"
,4,,LMS機能（管理画面）の使用ができる,無料トライアルには視聴だけでなく、LMS（管理者画面）の使い方も確認,・トライアル中にLMS機能（管理者画面）も活用することはありますか？,,,,,4,,LMS機能（管理画面）の使用ができる,無料トライアルには視聴だけでなく、LMS（管理者画面）の使い方も確認,・トライアル中にLMS機能（管理者画面）も活用することはありますか？,◎,LMS機能（管理画面）は全機能活用可能
,5,,トライアル中のサポート,トライアル中に活用できるサポートの範囲を確認,"・トライアル中のサポート体制について全て教えてください
・それらのサポートに費用は発生しますか？",,,,,5,,トライアル中のサポート,トライアル中に活用できるサポートの範囲を確認,"・トライアル中のサポート体制について全て教えてください
・それらのサポートに費用は発生しますか？",〇,契約時に提供される全てのサポートに加えて、トライアル中の個別サポートあり
,1,サポート,初回操作レクチャーがある,初回の操作レクチャーはあるか,・初回の操作レクチャーはありますか？,,,,,1,サポート,初回操作レクチャーがある,初回の操作レクチャーはあるか,・初回の操作レクチャーはありますか？,◎,"導入時に初回レクチャーMTGあり
※導入後の運用サポートもあり"
,2,,事例共有,他社の成功事例の共有の有無,"・他社の成功事例などうまく導入するためのサポートはありますか？
・有料ですか、無償ですか？",,,,,2,,事例共有,他社の成功事例の共有の有無,"・他社の成功事例などうまく導入するためのサポートはありますか？
・有料ですか、無償ですか？",〇,他社の事例共有あり（無償）
,3,,研修プログラムのサンプル提供,研修プログラムのサポートの充実度を確認します,・研修プログラムのサンプル提供はありますか？どんな種類のサンプル提供があるか教えてください,,,,,3,,研修プログラムのサンプル提供,研修プログラムのサポートの充実度を確認します,・研修プログラムのサンプル提供はありますか？どんな種類のサンプル提供があるか教えてください,◎,"研修プログラムのサンプル提供あり
（階層別やオンボーディングプログラムなど）"
,4,,サポートサイト,実際に見て使いやすさなどを確認します,"・サポートサイトはどのような内容になっていますか？
・実際の画面で使い方を教えてもらえますか？",,,,,4,,サポートサイト,実際に見て使いやすさなどを確認します,"・サポートサイトはどのような内容になっていますか？
・実際の画面で使い方を教えてもらえますか？",×,なし
,5,,問い合わせ,問い合わせ方法や回答までの時間など,"・困った時にどこにどうやって問い合わせたらいいですか？
・メールや電話など問い合わせ方法を教えてください
・問い合わせからの返答期限を教えてください",,,,,5,,問い合わせ,問い合わせ方法や回答までの時間など,"・困った時にどこにどうやって問い合わせたらいいですか？
・メールや電話など問い合わせ方法を教えてください
・問い合わせからの返答期限を教えてください",〇,"カスタマーサポートあり
メールと電話どちらの対応も可能
当日・翌営業日までにサポート可能"
,6,,他部門など横展開支援,拡大していく場合の支援があるか・内容,・他部門に展開する時など何か支援をしてもらえますか？,,,,,6,,他部門など横展開支援,拡大していく場合の支援があるか・内容,・他部門に展開する時など何か支援をしてもらえますか？,〇,社内展開時のプロジェクトをサポートする支援あり
,1,契約・価格,基本金額と利用範囲,基本金額と利用範囲の確認,"・基本料金はいくらですか？
・また基本料金ではどこまで機能を使うことができますか？",,,,,1,契約・価格,基本金額と利用範囲,基本金額と利用範囲の確認,"・基本料金はいくらですか？
・また基本料金ではどこまで機能を使うことができますか？",-,"基本プラン月額29,400円/30ID（税抜）
※同料金内で、eラーニング・オンライン研修・LMS機能すべて利用可能"
,2,,アカウントIDの金額,1ID数の料金の確認,・1IDごとの料金はいくらですか？,,,,,2,,アカウントIDの金額,1ID数の料金の確認,・1IDごとの料金はいくらですか？,-,"１IDは980円（税抜）
追加IDの際は、ボリュームディスカウントもあり
※営業と別途相談可能"
,3,,追加機能・コース,基本料金外の追加機能・コースの有無,"・基本プラン以外にどんなプランがありますか？
・追加料金で何か機能を追加することができますか？",,,,,3,,追加機能・コース,基本料金外の追加機能・コースの有無,"・基本プラン以外にどんなプランがありますか？
・追加料金で何か機能を追加することができますか？",-,"プレミアムコースあり※追加金額：10,000円/月（税抜）
・越川慎司氏による「リモートワークを成功に導く9つのアクション」「働き方改革をチャンスにする講座」など
"
